Stimulus,Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,explicacion.started,text_2.started,text_2.stopped,explicacion.stopped,stimuli.started,figura.started,key_resp_2.started,stimuli.stopped,key_resp_2.keys,isi.started,polygon.started,isi.stopped,key_resp_2.rt,key_resp_2.duration,polygon.stopped,figura.stopped,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.022091099999670405,0.0401361000003817,0.0401361000003817,1.7365397000003213,return,1.692612800000461,None,,,,,,,,,,,,,,,,,,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
17.png,0,0,0,0,16,2.785939000000326,,,,,,,,,1.73659250000037,1.7523616999997103,2.785939000000326,2.735817599999791,2.741738599999735,2.785939000000326,2.785939000000326,3.7526082000003953,None,3.752873399999771,3.7688035000001037,4.252434199999698,,,,,,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
4.png,0,0,1,1,3,4.269024100000024,,,,,,,,,,,,,4.252773100000013,4.269024100000024,4.269024100000024,5.252494399999705,None,5.252664100000402,5.268707199999881,5.752619400000185,,,,,,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
12.png,0,0,2,2,11,5.768702299999859,,,,,,,,,,,,,5.752911499999755,5.768702299999859,5.768702299999859,6.752312800000254,None,6.7524671000001035,6.7685583000002225,7.252184300000408,,,,,,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
9.png,0,0,3,3,8,7.269060999999965,,,,,,,,,,,,,7.252456000000166,7.269060999999965,7.269060999999965,8.252078499999698,None,8.252282800000103,8.268640100000084,8.752490099999704,,,,,,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
18.png,0,0,4,4,17,8.769086600000264,,,,,,,,,,,,,8.75272649999988,8.769086600000264,8.769086600000264,9.75244449999991,None,9.752607999999782,9.768672000000151,10.252051299999948,,,,,,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
2.png,1,0,5,5,1,10.268621799999892,,,,,,,,,,,,,10.252333999999792,10.268621799999892,10.268621799999892,11.252137000000403,None,11.252348199999687,11.268349400000261,11.751949499999682,,,,,,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
16.png,0,0,6,6,15,11.768853600000512,,,,,,,,,,,,,11.752209700000094,11.768853600000512,11.768853600000512,12.751811000000089,None,12.751944200000253,12.76842039999974,13.251765599999999,,,,,,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
15.png,0,0,7,7,14,13.269069699999818,,,,,,,,,,,,,13.252008200000091,13.269069699999818,13.269069699999818,14.25173040000027,None,14.251860500000475,14.268651999999747,14.751666799999839,,,,,,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
1.png,1,0,8,8,0,14.768597299999783,,,,,,,,,,,,,14.751902500000142,14.768597299999783,14.768597299999783,15.302640699999756,space,15.30295980000028,15.31806830000005,15.802104600000348,0.5222409000007247,None,15.818411500000366,,,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
24.png,0,0,9,9,23,15.818411500000366,,,,,,,,,,,,,15.802337899999657,15.818411500000366,15.818411500000366,16.802332600000227,None,16.80246140000054,16.818565800000215,17.301626000000397,,,17.318753300000026,16.818565800000215,16.818565800000215,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
11.png,0,0,10,10,10,17.318753300000026,,,,,,,,,,,,,17.301835899999787,17.318753300000026,17.318753300000026,18.302161600000545,None,18.30229000000054,18.31789310000022,18.802001199999722,,,18.818264499999714,18.31789310000022,18.31789310000022,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
5.png,0,0,11,11,4,18.818264499999714,,,,,,,,,,,,,18.802225800000087,18.818264499999714,18.818264499999714,19.802480399999695,None,19.802606500000365,19.818017200000213,20.302131700000245,,,20.318554000000404,19.818017200000213,19.818017200000213,1,001,2024-02-26_12h18.19.047,ssr_1,2023.2.3,59.70569867020353,2024-02-26 12h18.23.657210 +0100,
,,,,,,20.318554000000404,,,,,,,,,,,,,20.302366200000506,20.318554000000404,20.318554000000404,,,,,,,,,,,,,,,,,,
