Stimulus,Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,explicacion.started,text_2.started,text_2.stopped,explicacion.stopped,stimuli.started,figura.started,key_resp_2.started,stimuli.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,figura.stopped,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.023399799974868074,0.03609769998001866,0.03609769998001866,4.16906369998469,return,4.122326200013049,None,,,,,,,,,,,,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,0,0,0,36,5.249901999981375,,,,,,,,,4.169086599984439,4.184675799973775,5.249901999981375,5.168774699995993,5.190670699987095,5.249901999981375,5.249901999981375,6.018894499982707,space,0.7565851000254042,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,0,1,1,35,6.034980599972187,,,,,,,,,,,,,6.01945889997296,6.034980599972187,6.034980599972187,7.01829499998712,None,,,7.046497699979227,7.046497699979227,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
12.png,0,0,2,2,11,7.046497699979227,,,,,,,,,,,,,7.018562299985206,7.046497699979227,7.046497699979227,7.618745699990541,space,0.5572082000144292,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
20.png,0,0,3,3,19,7.646433799993247,,,,,,,,,,,,,7.619269399991026,7.646433799993247,7.646433799993247,8.018129899981432,space,0.3592349999817088,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
18.png,0,0,4,4,17,8.045985099975951,,,,,,,,,,,,,8.018464999971911,8.045985099975951,8.045985099975951,8.201929799979553,space,0.14727260000654496,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
2.png,1,0,5,5,33,8.21792149997782,,,,,,,,,,,,,8.202288799977396,8.21792149997782,8.21792149997782,8.33526449999772,space,0.10988030000589788,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
23.png,0,0,6,6,22,8.362876699975459,,,,,,,,,,,,,8.33560129997204,8.362876699975459,8.362876699975459,8.485554899991257,space,0.1115871999936644,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,0,7,7,25,8.512761199992383,,,,,,,,,,,,,8.485922499996377,8.512761199992383,8.512761199992383,8.652077499980805,space,0.1285576999944169,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,0,8,8,29,8.668860399979167,,,,,,,,,,,,,8.652426399989054,8.668860399979167,8.668860399979167,8.784920399979455,space,0.11034980000113137,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
19.png,0,0,9,9,18,8.812955199973658,,,,,,,,,,,,,8.785264299978735,8.812955199973658,8.812955199973658,8.93588799997815,space,0.11318089999258518,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,0,10,10,24,8.951777499984019,,,,,,,,,,,,,8.936255199980224,8.951777499984019,8.951777499984019,9.085615399992093,space,0.12129069998627529,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
5.png,0,0,11,11,4,9.11318589997245,,,,,,,,,,,,,9.085999399976572,9.11318589997245,9.11318589997245,9.251886299985927,space,0.1271517999994103,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
6.png,0,0,12,12,5,9.27973499998916,,,,,,,,,,,,,9.252229199977592,9.27973499998916,9.27973499998916,9.401924899982987,space,0.10840640001697466,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
1.png,1,0,13,13,30,9.418231799994828,,,,,,,,,,,,,9.402275199972792,9.418231799994828,9.418231799994828,9.535162899992429,space,0.11247500000172295,None,,,1,001,2024-02-28_13h07.15.206,ssr_1,2023.2.3,60.02188397433952,2024-02-28 13h07.21.484525 +0100,
