Stimulus,Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,start.started,text.started,key_resp.started,start.stopped,key_resp.keys,key_resp.rt,key_resp.duration,explicacion.started,text_2.started,text_2.stopped,explicacion.stopped,stimuli.started,figura.started,key_resp_2.started,stimuli.stopped,key_resp_2.keys,figura.stopped,key_resp_2.stopped,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.026667700003599748,0.04920530000526924,0.04920530000526924,43.608687400002964,return,43.54495879999013,None,,,,,,,,,,,,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,0,0,0,27,44.67516360001173,,,,,,,,,43.60870910000813,43.624922500006505,44.67516360001173,44.608839300010004,44.629595100006554,44.67516360001173,44.67516360001173,45.6258710000111,None,,,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,0,1,1,33,45.64204220000829,,,,,,,,,,,,,45.62635790000786,45.64204220000829,45.64204220000829,46.60887390001153,None,,,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
10.png,0,0,2,2,9,46.62533890000486,,,,,,,,,,,,,46.60928290001175,46.62533890000486,46.62533890000486,47.60901710001053,None,47.62511280000035,47.62511280000035,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,0,3,3,30,47.62511280000035,,,,,,,,,,,,,47.609284900012426,47.62511280000035,47.62511280000035,48.60880630000611,None,,,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
14.png,0,0,4,4,13,48.62466720001248,,,,,,,,,,,,,48.60910940000031,48.62466720001248,48.62466720001248,49.192451800001436,space,,,0.5594274000031874,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
8.png,0,0,5,5,7,49.20817110000644,,,,,,,,,,,,,49.192886100005126,49.20817110000644,49.20817110000644,50.192407900001854,None,50.20901260001119,50.20901260001119,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
18.png,0,0,6,6,17,50.20901260001119,,,,,,,,,,,,,50.192736200013314,50.20901260001119,50.20901260001119,50.3757917000039,space,,,0.15180180000606924,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
11.png,0,0,7,7,10,50.39190290000988,,,,,,,,,,,,,50.37619470000209,50.39190290000988,50.39190290000988,51.37526090000756,None,51.39196000000811,51.39196000000811,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,0,8,8,25,51.39196000000811,,,,,,,,,,,,,51.37554320000345,51.39196000000811,51.39196000000811,51.62610560000758,space,,,0.22902850000537,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
21.png,0,0,9,9,20,51.64161210000748,,,,,,,,,,,,,51.62663940001221,51.64161210000748,51.64161210000748,52.62491620000219,None,52.64126550000219,52.64126550000219,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
24.png,0,0,10,10,23,52.64126550000219,,,,,,,,,,,,,52.6251740000007,52.64126550000219,52.64126550000219,53.62561000000278,None,53.64214950001042,53.64214950001042,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,0,11,11,0,53.64214950001042,,,,,,,,,,,,,53.62586540001212,53.64214950001042,53.64214950001042,54.64155380000011,None,,,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
20.png,0,0,12,12,19,54.65807640001003,,,,,,,,,,,,,54.64186930000142,54.65807640001003,54.65807640001003,54.874975200000335,space,,,0.20227259999956004,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,0,13,13,31,54.89140310000221,,,,,,,,,,,,,54.875355300013325,54.89140310000221,54.89140310000221,55.87543600000208,None,55.891537000003154,55.891537000003154,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,0,14,14,34,55.891537000003154,,,,,,,,,,,,,55.875763000003644,55.891537000003154,55.891537000003154,56.826060200008214,space,,,0.933213300013449,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
9.png,0,0,15,15,8,56.84150230001251,,,,,,,,,,,,,56.82647060000454,56.84150230001251,56.84150230001251,57.825992800004315,None,57.84197620001214,57.84197620001214,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,0,16,16,37,57.84197620001214,,,,,,,,,,,,,57.826396800010116,57.84197620001214,57.84197620001214,58.142153600012534,space,,,0.2880451999953948,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
22.png,0,0,17,17,21,58.157790199999,,,,,,,,,,,,,58.14250170000014,58.157790199999,58.157790199999,59.14194660000794,None,59.15830670000287,59.15830670000287,,,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
12.png,0,0,18,18,11,59.15830670000287,,,,,,,,,,,,,59.14222430001246,59.15830670000287,59.15830670000287,59.42497710000316,space,,,0.2615977999957977,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
16.png,0,0,19,19,15,59.4408822000114,,,,,,,,,,,,,59.42534929999965,59.4408822000114,59.4408822000114,60.40844010000001,space,,,0.9625749999977415,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,0,20,20,36,60.42474810000567,,,,,,,,,,,,,60.40882950001105,60.42474810000567,60.42474810000567,60.97489240000141,space,,,0.5450637000030838,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,0,21,21,26,60.99128960000235,,,,,,,,,,,,,60.975243300010334,60.99128960000235,60.99128960000235,61.492451099999016,space,,,0.48950119999062736,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
15.png,0,0,22,22,14,61.50715800000762,,,,,,,,,,,,,61.49285439999949,61.50715800000762,61.50715800000762,61.84220820000337,space,,,0.3310726000054274,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,0,23,23,24,61.8581542000029,,,,,,,,,,,,,61.84256390000519,61.8581542000029,61.8581542000029,61.99230360001093,space,,,0.12861110000812914,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,0,24,24,1,62.008040400003665,,,,,,,,,,,,,61.99269230000209,62.008040400003665,62.008040400003665,62.158091500008595,space,,,0.14512690000992734,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
1.png,1,0,25,25,29,62.17430690000765,,,,,,,,,,,,,62.15846310000052,62.17430690000765,62.17430690000765,62.30877930000133,space,,,0.1263630000030389,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
17.png,0,0,26,26,16,62.324723100013216,,,,,,,,,,,,,62.309151500012376,62.324723100013216,62.324723100013216,62.4749831000081,space,,,0.13687919999938458,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
2.png,1,0,27,27,32,62.491303500006325,,,,,,,,,,,,,62.47535340000468,62.491303500006325,62.491303500006325,62.65869790001307,space,,,0.15726909998920746,None,1,001,2024-03-04_12h03.11.917,ssr_1,2023.2.3,59.53858785428031,2024-03-04 12h03.18.415990 +0100,
