stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,response.rt,response.duration,isi.started,polygon.started,polygon.stopped,isi.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.00962890000664629,0.01340560000971891,1.0069994000077713,1.007008400018094,1.0239291000179946,1.0239291000179946,2.2086308000143617,return,1.183403700008057,None,,,,,,,,,,,,,,,,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,0,0,0,9,3.223487400013255,,,,,,,,,,,,2.208653100009542,2.2234525000094436,3.223487400013255,3.2071058000146877,3.212712000007741,3.223487400013255,3.223487400013255,3.70744550001109,left,0.4814314999966882,None,3.7078537000052165,3.72309580000001,4.040420100005576,4.024028500018176,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,0,1,1,6,4.040420100005576,,,,,,,,,,,,,,,,4.024244000000181,4.040420100005576,4.040420100005576,4.491660200001206,left,0.44975739999790676,None,4.4918889999971725,4.506706300016958,4.823488699999871,4.807265900017228,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,0,2,2,12,4.823488699999871,,,,,,,,,,,,,,,,4.80748119999771,4.823488699999871,4.823488699999871,5.241115600016201,left,0.4063998000056017,None,5.241413200012175,5.2568930000124965,5.57360190001782,5.557325400004629,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,0,3,3,7,5.57360190001782,,,,,,,,,,,,,,,,5.557540500012692,5.57360190001782,5.57360190001782,5.941211199999088,left,0.36248239999986254,None,5.941463900002418,5.95683700000518,6.2735489000042435,6.25733720001881,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,0,4,4,13,6.2735489000042435,,,,,,,,,,,,,,,,6.257569600013085,6.2735489000042435,6.2735489000042435,6.657655299990438,left,0.37670409999554977,None,6.658079000015277,6.67349000001559,6.990290000016103,6.974152300012065,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,0,5,5,17,6.990290000016103,,,,,,,,,,,,,,,,6.974369100003969,6.990290000016103,6.990290000016103,7.324488600017503,right,0.3310827000241261,None,7.324708100000862,7.340145099995425,7.656815900001675,7.640878200007137,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,0,6,6,18,7.656815900001675,,,,,,,,,,,,,,,,7.641225100000156,7.656815900001675,7.656815900001675,8.041077000001678,right,0.37245870000333525,None,8.041331699991133,8.056851000001188,8.373452600004384,8.357476400007727,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,0,7,7,3,8.373452600004384,,,,,,,,,,,,,,,,8.357691700017313,8.373452600004384,8.373452600004384,8.757456299994374,right,0.3678737999871373,None,8.75768420001259,8.773291099991184,9.09004609999829,9.073740299994824,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,0,8,8,5,9.09004609999829,,,,,,,,,,,,,,,,9.073998900013976,9.09004609999829,9.09004609999829,9.52407129999483,right,0.42673440001090057,None,9.524346199992578,9.5399594999908,9.856729999999516,9.840709200012498,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,0,9,9,1,9.856729999999516,,,,,,,,,,,,,,,,9.840940900001442,9.856729999999516,9.856729999999516,10.424137399997562,right,0.552470299997367,None,10.424358699994627,10.439956699992763,10.744155599997612,10.737504699995043,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,0,10,10,14,10.744155599997612,,,,,,,,,,,,,,,,10.737756699993042,10.744155599997612,10.744155599997612,11.274804699991364,left,0.5289229000045452,None,11.27503479999723,11.289880199998152,11.606595399993239,11.590153800003463,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,0,11,11,19,11.606595399993239,,,,,,,,,,,,,,,,11.590354100015247,11.606595399993239,11.606595399993239,12.074552000005497,right,0.46640589999151416,None,12.074899300001562,12.090008099999977,12.406772999995155,12.3903699000075,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,0,12,12,4,12.406772999995155,,,,,,,,,,,,,,,,12.390587600006256,12.406772999995155,12.406772999995155,12.873769199999515,left,0.4551183999865316,None,12.87399930000538,12.889898800000083,13.206625499995425,13.190549599996302,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,0,13,13,15,13.206625499995425,,,,,,,,,,,,,,,,13.190765500010457,13.206625499995425,13.206625499995425,13.707239700015634,left,0.49735259998124093,None,13.707521000003908,13.72298089999822,14.039970100013306,14.023844900017139,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,0,14,14,0,14.039970100013306,,,,,,,,,,,,,,,,14.024068200000329,14.039970100013306,14.039970100013306,14.623452200001338,left,0.574909499991918,None,14.62367629999062,14.639777600008529,14.956554900010815,14.94030479999492,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,0,15,15,10,14.956554900010815,,,,,,,,,,,,,,,,14.940528300008737,14.956554900010815,14.956554900010815,15.35719889999018,right,0.39070379998884164,None,15.357428599993,15.373148500017123,15.689809400006197,15.67344330000924,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,red,0,16,16,2,15.689809400006197,,,,,,,,,,,,,,,,15.673720199993113,15.689809400006197,15.689809400006197,16.157082899997476,right,0.45560180000029504,None,16.157358399999794,16.173147900000913,16.48970050000935,16.473612700006925,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,red,0,17,17,16,16.48970050000935,,,,,,,,,,,,,,,,16.473833800002467,16.48970050000935,16.48970050000935,17.007934599998407,right,0.5165057000122033,None,17.00823120001587,17.02318910000031,17.339922999992268,17.32351670000935,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
verde,green,0,18,18,11,17.339922999992268,,,,,,,,,,,,,,,,17.323875700007193,17.339922999992268,17.339922999992268,17.723867599997902,left,0.3669808999984525,None,17.72410910000326,17.73987409999245,18.056452099990565,18.040101999999024,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
rojo,green,0,19,19,8,18.056452099990565,,,,,,,,,,,,,,,,18.040319099993212,18.056452099990565,18.056452099990565,18.47391100000823,left,0.40163189999293536,None,18.474133600015193,18.489753000001656,18.80646789999446,18.79007280000951,1,2024-02-19_12h05.35.273,stroop,2023.2.3,60.03363084098647,2024-02-19 12h05.46.228663 +0100,
