stim_word,stim_color,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,thisRow.t,notes,welcome.started,welcome_txt.started,welcome.stopped,instructions.started,instructions_txt.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_fix.started,circle.started,circle.stopped,init_fix.stopped,stim.started,trial_txt.started,response.started,stim.stopped,response.keys,response.rt,response.duration,result.started,feedback.started,feedback.stopped,result.stopped,isi.started,polygon.started,polygon.stopped,isi.stopped,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.032890700007556006,0.04834800001117401,1.0096683999872766,1.0096818000019994,1.0264495000010356,1.0264495000010356,4.327226699999301,return,3.2925056999956723,None,,,,,,,,,,,,,,,,,,,,1,2024-02-19_12h33.04.084,stroop,2023.2.3,59.88382537951999,2024-02-19 12h33.09.015955 +0100,
rojo,green,0,0,0,9,5.342417400010163,,,,,,,,,,,,4.327249499998288,4.342685600015102,5.342417400010163,5.32637560000876,5.332008900004439,5.342417400010163,5.342417400010163,6.193093899986707,left,0.8434134999988601,None,6.193485900002997,6.209081600012723,6.708864499989431,6.69288940000115,6.692898999986937,6.708864499989431,7.109460100007709,7.093043900007615,1,2024-02-19_12h33.04.084,stroop,2023.2.3,59.88382537951999,2024-02-19 12h33.09.015955 +0100,
verde,green,0,1,1,10,7.109460100007709,,,,,,,,,,,,,,,,7.09327330000815,7.109460100007709,7.109460100007709,7.69428210001206,left,0.5821785000152886,None,7.694513900001766,7.709130000002915,8.209020400012378,8.193487100012135,8.193532400007825,8.209020400012378,8.609379600005923,8.592735899990657,1,2024-02-19_12h33.04.084,stroop,2023.2.3,59.88382537951999,2024-02-19 12h33.09.015955 +0100,
rojo,red,0,2,2,1,8.609379600005923,,,,,,,,,,,,,,,,8.592966700001853,8.609379600005923,8.609379600005923,12.160519800003385,left,3.5461221000005025,None,12.160794700001134,12.175289800012251,12.675193500006571,12.659257799998159,12.659269499999937,12.675193500006571,13.075394000014057,13.059095900011016,1,2024-02-19_12h33.04.084,stroop,2023.2.3,59.88382537951999,2024-02-19 12h33.09.015955 +0100,
verde,red,0,3,3,18,13.075394000014057,,,,,,,,,,,,,,,,13.059335900004953,13.075394000014057,13.075394000014057,14.559866299998248,left,1.4798491999972612,None,14.560086999990745,14.575154799997108,15.075415600003907,15.058893300010823,15.058904500008794,15.075415600003907,15.475568099995144,15.45860499999253,1,2024-02-19_12h33.04.084,stroop,2023.2.3,59.88382537951999,2024-02-19 12h33.09.015955 +0100,
rojo,red,0,4,4,0,15.475568099995144,,,,,,,,,,,,,,,,15.45885600001202,15.475568099995144,15.475568099995144,16.19285009999294,right,0.7023379000020213,None,16.19307030001073,16.20873899999424,16.70856850000564,16.692403099994408,16.692413899989333,16.70856850000564,17.1087344000116,17.09213780000573,1,2024-02-19_12h33.04.084,stroop,2023.2.3,59.88382537951999,2024-02-19 12h33.09.015955 +0100,
rojo,red,0,5,5,3,17.1087344000116,,,,,,,,,,,,,,,,17.092429599986644,17.1087344000116,17.1087344000116,17.659302999993088,right,0.5361503000021912,None,17.659529600001406,17.67513550000149,18.17491780000273,18.15910280001117,18.159129700012272,18.17491780000273,18.575421399989864,18.558981500013033,1,2024-02-19_12h33.04.084,stroop,2023.2.3,59.88382537951999,2024-02-19 12h33.09.015955 +0100,
verde,red,0,6,6,16,18.575421399989864,,,,,,,,,,,,,,,,18.559195700014243,18.575421399989864,18.575421399989864,19.52621270000236,right,0.9461093000136316,None,19.526434600003995,19.541690300015034,20.04166049999185,20.025733599992236,20.025757399998838,20.04166049999185,20.441836799989687,20.425546599988593,1,2024-02-19_12h33.04.084,stroop,2023.2.3,59.88382537951999,2024-02-19 12h33.09.015955 +0100,
rojo,red,0,7,7,2,20.441836799989687,,,,,,,,,,,,,,,,20.425777099997504,20.441836799989687,20.441836799989687,20.475723999988986,left,0.024035300011746585,None,20.475969799997984,20.492287100001704,20.992024500010302,20.97577019999153,20.975781599991024,20.992024500010302,21.391830600012327,21.37555749999592,1,2024-02-19_12h33.04.084,stroop,2023.2.3,59.88382537951999,2024-02-19 12h33.09.015955 +0100,
,,,,,,21.391830600012327,,,,,,,,,,,,,,,,21.375787700002547,21.391830600012327,21.391830600012327,,,,,,,,,,,,,,,,,,,
